Time Step,Satellite Index,Satellite Visible,Satellite Available,Active Satellite,Weighted Values,Unweighted Values,Availability,BER,Cost,Latency,Data Transfer Latency,Throughput,Weighted Availability,Weighted BER,Weighted Cost,Weighted Latency,Weighted Data Transfer Latency,Weighted Throughput,Values Used
8,1,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
8,2,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
8,3,Yes,Yes,Yes,0.3835331586863082,3.0233519510020566,0.08,0.0,0.9836033324480903,0.4764164663412848,0.6255406680581235,0.8577914841545579,0.016,0.0,0.0,0.04764164663412848,0.06255406680581235,0.25733744524636737,"('Penalty', 0.08)"
8,4,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
8,5,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
8,6,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
8,7,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
8,8,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
9,1,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
9,2,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
9,3,Yes,Yes,Yes,0.3538202063163982,2.8610281045238883,0.04,0.0,0.9836033324480903,0.4281793851772491,0.5988567413544575,0.8103886455440918,0.008,0.0,0.0,0.04281793851772492,0.05988567413544576,0.24311659366322755,"('Penalty', 0.04)"
9,4,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
9,5,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
9,6,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
9,7,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
9,8,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
10,1,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
10,2,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
10,3,Yes,No,Yes,0.31091486488250913,2.6615321710517317,0.0,0.0,0.9836033324480903,0.38816815356767026,0.5741507799252464,0.7156099051107249,0.0,0.0,0.0,0.03881681535676703,0.05741507799252465,0.21468297153321744,"('Penalty', 0.0)"
10,4,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
10,5,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
10,6,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
10,7,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
10,8,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
11,1,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
11,2,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
11,3,Yes,No,Yes,0.22533639290838584,2.338690788648346,0.0,0.0,0.9836033324480903,0.35466944399899086,0.5512797757594634,0.44913823644180134,0.0,0.0,0.0,0.035466944399899086,0.05512797757594634,0.1347414709325404,"('Penalty', 0.0)"
11,4,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
11,5,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
11,6,No,No,No,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,"('Penalty', 0.0)"
11,7,Yes,No,No,0.10836298113774077,2.067233143825498,0.0,0.0,0.9836033324480903,0.29693906498710665,0.786690746390301,0.0,0.0,0.0,0.0,0.029693906498710666,0.07866907463903011,0.0,"('Penalty', 0.0)"
