Time Step,Satellite Index,Satellite Visible,Satellite Available,Active Satellite,Weighted Values,Unweighted Values,Availability,BER,Cost,Latency,Data Transfer Latency,Throughput,Weighted Availability,Weighted BER,Weighted Cost,Weighted Latency,Weighted Data Transfer Latency,Weighted Throughput,Values Used
36,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
36,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
37,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
37,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
37,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
37,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
38,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
38,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
38,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
38,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
39,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
39,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
39,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
39,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
40,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
40,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
40,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
40,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
41,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
41,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
41,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
41,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
42,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
42,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
42,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
42,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
43,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
43,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
43,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
43,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
44,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
44,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
44,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
44,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
45,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
45,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
45,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
45,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
46,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
46,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
46,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
46,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
47,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
47,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
47,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
47,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
48,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
48,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
48,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
48,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
49,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
49,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
49,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
49,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
50,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
50,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
50,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
50,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
51,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
51,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
51,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
51,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
52,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
52,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
52,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
52,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
53,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
53,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
53,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
53,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
54,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
54,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
54,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
54,4,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
55,1,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
55,2,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
55,3,No,No,No,,,0.0,0.0,,0.0,,0.0,,,,,,,Penalty
