Time Step,Throughput Values
54,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
55,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
56,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
57,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
58,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
59,"[250000000.0, 250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
60,"[250000000.0, 250000000.0, 249224804.794811, 188671747.35253024]"
61,"[250000000.0, 249224804.794811, 188671747.35253024]"
62,"[249224804.794811, 188671747.35253024]"
63,[188671747.35253024]
13,"[83156682.3816098, 248289039.0613373, 249960467.72818843, 249999999.99999893, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
14,"[248289039.0613373, 249960467.72818843, 249999999.99999893, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
15,"[249960467.72818843, 249999999.99999893, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
16,"[249999999.99999893, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
17,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
18,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
19,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
20,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
21,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
22,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
23,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
24,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
25,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
26,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
27,"[250000000.0, 250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
28,"[250000000.0, 250000000.0, 249991043.9959203, 237763362.26740146]"
29,"[250000000.0, 249991043.9959203, 237763362.26740146]"
30,"[249991043.9959203, 237763362.26740146]"
31,[237763362.26740146]
